gen:0{ accuracy:[61.12, 37.6, 59.13, 49.54, 66.46, 41.32, 45.18, 55.21, 47.59, 64.65, 71.2, 30.91, 57.81, 40.04, 71.04, 60.54, 52.53, 50.76, 45.46, 37.84, 51.65, 68.6, 56.29, 63.84, 51.54, 47.25, 65.08, 31.88, 56.69, 28.95, 54.42, 65.29, 57.95, 53.11, 32.42, 63.58, 57.28, 49.47, 47.27, 57.78, 44.61, 65.78, 51.56, 66.89, 47.01, 64.79, 42.51, 48.16, 58.36, 59.53, 68.25, 41.94, 55.82, 71.11, 47.58, 63.36, 60.14, 58.86, 52.6, 47.03, 62.28, 47.68, 66.99, 67.08, 63.95, 32.18, 49.19, 67.79, 34.44, 39.66, 51.99, 44.66, 43.3, 31.34, 70.25]}
gen:1{ accuracy:[61.78, 70.1, 44.06, 67.52, 71.16, 71.68, 68.06, 42.76, 67.95, 29.42, 63.39, 71.08, 45.38, 71.31, 70.43, 61.79, 67.57, 56.3, 68.96, 70.11, 63.5, 71.93, 48.22, 45.65, 72.18, 10.0, 58.35, 71.65, 70.56, 69.17, 55.36, 24.1, 70.6, 71.02, 70.19, 70.19, 69.77, 43.57, 33.56, 71.71, 58.94, 42.35, 65.35, 69.98, 69.86, 69.55, 60.76, 71.88, 69.66, 70.49, 64.08, 45.0, 68.97, 71.92, 69.65, 71.54, 69.84, 64.18, 63.3, 43.02, 55.73, 58.07, 69.05, 60.4, 70.09, 67.05, 15.34, 62.44, 72.01, 18.25, 69.94, 59.79, 70.3, 62.89, 60.81]}
gen:2{ accuracy:[71.75, 68.89, 69.56, 67.13, 39.42, 70.09, 71.92, 69.84, 69.88, 58.55, 25.75, 71.14, 70.17, 39.28, 66.69, 67.42, 71.02, 52.17, 63.5, 72.81, 63.25, 46.48, 70.69, 46.55, 70.8, 69.82, 70.66, 34.57, 47.57, 71.01, 70.38, 65.84, 72.57, 71.8, 67.23, 70.49, 72.74, 66.69, 60.53, 71.21, 50.63, 72.25, 68.74, 64.18, 68.73, 71.81, 54.22, 64.17, 34.53, 70.47, 54.54, 68.88, 71.91, 53.27, 45.55, 53.83, 70.31, 70.17, 66.26, 28.16, 71.25, 62.58, 69.52, 72.2, 70.5, 67.02, 60.4, 70.06, 71.22, 73.36, 38.76, 67.41, 66.03, 70.5, 66.51]}
gen:3{ accuracy:[58.64, 71.83, 18.4, 39.26, 71.61, 17.51, 72.64, 47.41, 72.25, 72.44, 70.86, 73.67, 73.17, 72.24, 71.35, 72.87, 71.84, 69.15, 71.63, 73.6, 72.23, 73.02, 52.17, 69.31, 71.04, 72.4, 70.88, 70.66, 62.95, 58.56, 63.53, 72.4, 51.13, 64.23, 23.52, 63.54, 70.84, 72.45, 73.1, 70.11, 72.99, 10.0, 72.82, 64.35, 53.77, 68.74, 71.49, 72.06, 18.13, 71.45, 10.0, 49.69, 63.13, 72.88, 62.78, 39.77, 57.28, 73.52, 57.26, 73.65, 74.26, 45.49, 49.25, 72.01, 70.17, 72.49, 25.36, 68.6, 61.11, 72.04, 71.88, 71.24, 62.24, 60.79, 65.22]}
gen:4{ accuracy:[61.47, 70.79, 72.77, 70.35, 54.36, 72.24, 62.7, 72.92, 70.79, 73.16, 68.17, 69.25, 33.23, 73.66, 73.27, 72.68, 40.67, 72.98, 47.27, 72.58, 73.83, 68.42, 63.45, 65.21, 68.13, 65.67, 70.67, 72.66, 71.1, 52.31, 71.33, 73.03, 71.97, 40.9, 51.94, 69.83, 70.7, 74.02, 65.29, 73.4, 68.86, 73.69, 66.51, 72.94, 72.8, 56.86, 73.39, 65.9, 61.74, 71.64, 69.54, 72.83, 72.91, 72.58, 27.87, 60.41, 48.74, 69.4, 72.31, 56.78, 65.28, 72.14, 67.01, 68.85, 70.42, 72.93, 61.6, 67.69, 67.51, 71.24, 64.31, 72.35, 51.85, 59.81, 72.59]}
gen:5{ accuracy:[65.56, 72.75, 67.63, 70.59, 52.15, 63.67, 72.23, 72.74, 71.93, 73.21, 49.67, 44.74, 71.22, 71.55, 73.4, 72.05, 59.55, 72.12, 69.18, 72.48, 70.25, 71.04, 74.21, 70.78, 68.69, 44.36, 50.18, 69.23, 72.65, 68.71, 72.94, 64.92, 72.99, 58.07, 40.44, 71.87, 69.51, 70.95, 48.71, 71.54, 73.57, 73.77, 68.9, 63.11, 70.12, 70.89, 65.87, 70.02, 48.58, 69.93, 61.52, 73.34, 62.44, 71.66, 74.1, 71.34, 68.17, 72.22, 68.9, 72.27, 10.0, 59.46, 72.98, 63.33, 58.52, 32.08, 65.17, 72.22, 58.1, 69.32, 69.73, 40.8, 57.98, 63.53, 72.22]}
gen:6{ accuracy:[73.67, 26.59, 38.28, 72.15, 57.69, 64.85, 71.59, 73.32, 71.49, 74.61, 72.83, 36.48, 72.45, 30.51, 72.09, 25.2, 63.04, 18.73, 72.85, 71.06, 72.01, 73.17, 42.82, 54.87, 10.0, 72.32, 67.35, 18.18, 64.8, 70.61, 70.53, 66.24, 51.87, 65.54, 71.62, 51.01, 74.23, 31.68, 15.11, 10.0, 72.61, 63.88, 25.78, 71.56, 72.35, 49.78, 66.63, 52.12, 73.01, 18.05, 71.8, 66.69, 66.78, 69.36, 59.4, 71.33, 68.79, 68.82, 72.55, 26.14, 68.26, 72.4, 65.27, 69.71, 72.44, 72.56, 74.0, 59.34, 72.4, 72.49, 71.51, 25.27, 72.05, 69.47, 71.1]}
gen:7{ accuracy:[73.61, 72.45, 51.14, 67.1, 48.49, 60.83, 74.93, 74.66, 71.02, 40.63, 58.97, 65.06, 42.83, 73.57, 60.88, 64.58, 62.98, 56.95, 64.35, 73.03, 73.7, 55.79, 66.32, 73.94, 71.37, 52.4, 73.47, 60.56, 73.71, 68.4, 45.76, 72.95, 45.71, 74.39, 67.97, 66.11, 71.6, 73.96, 68.92, 63.81, 30.69, 56.08, 59.26, 61.41, 72.19, 73.79, 62.96, 52.51, 47.66, 73.68, 40.61, 73.58, 69.44, 25.61, 52.91, 74.08, 66.4, 62.14, 73.48, 56.18, 54.22, 43.18, 58.48, 65.75, 66.65, 51.39, 73.64, 10.0, 48.29, 60.0, 50.17, 69.77, 73.91, 59.99, 72.67]}
gen:8{ accuracy:[71.4, 26.3, 72.77, 37.83, 46.66, 32.39, 54.17, 74.46, 72.95, 10.0, 74.25, 74.35, 63.84, 73.01, 46.78, 59.06, 73.81, 74.27, 71.66, 71.82, 53.26, 74.87, 72.42, 51.42, 16.3, 53.35, 72.95, 46.55, 64.19, 61.9, 69.95, 10.0, 71.26, 74.38, 64.49, 73.24, 69.42, 73.47, 63.96, 70.95, 72.69, 74.24, 73.33, 69.82, 72.2, 18.9, 45.01, 71.39, 38.91, 42.78, 73.62, 51.66, 65.83, 10.0, 68.57, 72.98, 60.78, 66.31, 75.47, 18.3, 58.5, 47.16, 73.5, 72.29, 72.46, 25.91, 72.76, 46.49, 40.68, 72.11, 64.34, 36.83, 74.19, 67.82, 72.2]}
gen:9{ accuracy:[71.57, 57.98, 59.44, 73.4, 30.21, 64.34, 46.91, 75.23, 35.9, 72.25, 72.47, 72.68, 67.24, 10.0, 70.59, 56.71, 68.71, 72.81, 75.65, 76.64, 45.57, 62.23, 25.78, 70.63, 73.08, 67.39, 65.46, 43.12, 74.63, 68.37, 73.07, 72.98, 37.7, 70.52, 60.47, 17.94, 70.61, 52.16, 55.88, 34.14, 75.24, 76.08, 46.49, 51.27, 67.3, 51.01, 74.86, 10.0, 36.08, 51.9, 41.46, 71.58, 72.79, 70.49, 67.64, 76.95, 10.0, 10.0, 68.08, 31.99, 66.46, 44.56, 75.6, 73.26, 53.48, 44.84, 61.69, 61.6, 68.11, 70.48, 47.79, 76.78, 66.32, 73.72, 71.13]}
